date,views,uniques
2026-04-30,5,1
2026-05-01,3,1
2026-05-02,0,0
2026-05-03,1,1
2026-05-04,0,0
2026-05-05,0,0
2026-05-06,2,1
2026-05-07,0,0
2026-05-08,5,1
2026-05-09,0,0
2026-05-10,0,0
2026-05-11,0,0
2026-05-12,0,0
2026-05-13,1,1
2026-05-14,1,1
2026-05-15,10,8
2026-05-16,3,2
2026-05-17,0,0
2026-05-18,1,1
2026-05-19,1,1
2026-05-20,1,1
2026-05-21,0,0
2026-05-22,1,1
2026-05-23,0,0
2026-05-24,2,1
2026-05-25,0,0
2026-05-26,2,1
2026-05-27,0,0
2026-05-28,0,0
2026-05-29,0,0
2026-05-30,0,0
2026-05-31,1,1
2026-06-01,0,0
2026-06-02,0,0
2026-06-03,0,0
2026-06-04,3,3
2026-06-05,0,0
2026-06-06,0,0
2026-06-07,0,0
